Date,AdjClose,Close,High,Low,Open,Volume
2023-11-13,183.07110595703125,184.8000030517578,186.02999877929688,184.2100067138672,185.82000732421875,43627500
2023-11-14,185.6864013671875,187.44000244140625,188.11000061035156,186.3000030517578,187.6999969482422,60108400
2023-11-15,186.2510223388672,188.00999450683594,189.5,187.77999877929688,187.85000610351562,53790500
2023-11-16,187.93516540527344,189.7100067138672,190.9600067138672,188.64999389648438,189.57000732421875,54412900
2023-11-17,187.9153289794922,189.69000244140625,190.3800048828125,188.57000732421875,190.25,50922700
2023-11-20,189.65887451171875,191.4499969482422,191.91000366210938,189.8800048828125,189.88999938964844,46505100
2023-11-21,188.85646057128906,190.63999938964844,191.52000427246094,189.74000549316406,191.41000366210938,38134500
2023-11-22,189.5201873779297,191.30999755859375,192.92999267578125,190.8300018310547,191.49000549316406,39617700
2023-11-24,188.19273376464844,189.97000122070312,190.89999389648438,189.25,190.8699951171875,24048300
2023-11-27,188.014404296875,189.7899932861328,190.6699981689453,188.89999389648438,189.9199981689453,40552600
2023-11-28,188.61868286132812,190.39999389648438,191.0800018310547,189.39999389648438,189.77999877929688,38415400
2023-11-29,187.59832763671875,189.3699951171875,192.08999633789062,188.97000122070312,190.89999389648438,43014200
2023-11-30,188.17288208007812,189.9499969482422,190.32000732421875,188.19000244140625,189.83999633789062,48794400
2023-12-01,189.4508514404297,191.24000549316406,191.55999755859375,189.22999572753906,190.3300018310547,45704800
2023-12-04,187.6577606201172,189.42999267578125,190.0500030517578,187.4499969482422,189.97999572753906,43389500
2023-12-05,191.61044311523438,193.4199981689453,194.39999389648438,190.17999267578125,190.2100067138672,66628400
2023-12-06,190.52076721191406,192.32000732421875,194.75999450683594,192.11000061035156,194.4499969482422,41089700
2023-12-07,192.4525146484375,194.27000427246094,195.0,193.58999633789062,193.6300048828125,47477700
2023-12-08,193.8790283203125,195.7100067138672,195.99000549316406,193.6699981689453,194.1999969482422,53406400
2023-12-11,191.37269592285156,193.17999267578125,193.49000549316406,191.4199981689453,193.11000061035156,60943700
2023-12-12,192.88839721679688,194.7100067138672,194.72000122070312,191.72000122070312,193.0800018310547,52696900
2023-12-13,196.1079559326172,197.9600067138672,198.0,194.85000610351562,195.08999633789062,70404200
2023-12-14,196.25656127929688,198.11000061035156,199.6199951171875,196.16000366210938,198.02000427246094,66831600
2023-12-15,195.72161865234375,197.57000732421875,198.39999389648438,197.0,197.52999877929688,128538400
